,collector,country,un_subregion,so_region,age_range,age_midpoint,gender,self_identification,occupation,occupation_group,experience_range,experience_midpoint,salary_range,salary_midpoint,big_mac_index,tech_do,tech_want,aliens,programming_ability,employment_status,industry,company_size_range,team_size_range,women_on_team,remote,job_satisfaction,job_discovery,dev_environment,commit_frequency,hobby,dogs_vs_cats,desktop_os,unit_testing,rep_range,visit_frequency,why_learn_new_tech,education,open_to_new_job,new_job_value,job_search_annoyance,interview_likelihood,how_to_improve_interview_process,star_wars_vs_star_trek,agree_tech,agree_notice,agree_problemsolving,agree_diversity,agree_adblocker,agree_alcohol,agree_loveboss,agree_nightcode,agree_legacy,agree_mars,important_variety,important_control,important_sameend,important_newtech,important_buildnew,important_buildexisting,important_promotion,important_companymission,important_wfh,important_ownoffice,developer_challenges,why_stack_overflow
50525,Facebook,Albania,Southern Europe,Eastern Europe,25-29,27.0,Female,Developer; Programmer; Sr. Developer; Manager,Full-stack web developer,Full-stack web developer,6 - 10 years,8.0,"Less than $10,000",5000.0,,C#; Dart; Java; JavaScript; LAMP; PHP; SQL; SQL Server; Visual Basic; WordPress,AngularJS; Hadoop; iOS; Java; MongoDB; PHP,Yes,7.0,Employed full-time,Software Products,10-19 employees,10-14 people,6,I rarely work remotely,I'm somewhat satisfied with my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Notepad++; NetBeans; Visual Studio,Once a day,2-5 hours per week,Dogs,Windows 10,Yes,I'm not sure,Multiple times a day,I want to be a better developer,B.S. in Computer Science (or related field),I am actively looking for a new job,Salary; Opportunity for advancement; Job title,Writing cover letters,0%,Offer remote interviews (e.g. via video conference); Fewer brainteasers; Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Agree completely,Agree completely,Agree completely,Disagree completely,Disagree completely,Neutral,Agree somewhat,Neutral,Agree somewhat,This is somewhat important,This is very important,I don't care about this,This is very important,This is very important,This is somewhat important,This is very important,This is very important,This is somewhat important,I don't care about this,Poor scheduling; Interacting with stupid people; Changing requirements,To get help for my job; Beacause I love to learn
50541,Facebook,Albania,Southern Europe,Eastern Europe,25-29,27.0,Male,Developer; Programmer; Full-stack Developer,Back-end web developer,Back-end web developer,6 - 10 years,8.0,"Less than $10,000",5000.0,,Java; JavaScript; LAMP; PHP; SQL; SQL Server,Cassandra; Hadoop; iOS; Java; JavaScript; LAMP; Objective-C; PHP; SQL; SQL Server,Other (please specify),8.0,Employed full-time,Finance / Banking,10-19 employees,5-9 people,8,I rarely work remotely,I'm somewhat dissatisfied with my job,Contacted by company (in-house recruiter),Notepad++; Sublime; Android Studio; Eclipse; IntelliJ; NetBeans; PhpStorm,Once a day,1-2 hours per week,Cats,Mac OS X,I don't know,I'm not sure,Multiple times a day,To keep my skills up to date,I'm self-taught; On-the-job training; Masters Degree in Computer Science (or related field),I am actively looking for a new job,Salary; Company size; Company financials; Work/life balance; Opportunity for advancement; Job title; Quality of colleagues; Company culture; Building something that's significant; Remote working option; Flexible work hours; Building something that's innovative,Writing cover letters,,Be more flexible about interview scheduling; Introduce me to the team; Show me the space in which I will work; Fewer brainteasers,Star Wars,Neutral,Agree completely,Agree completely,Agree completely,Agree somewhat,Disagree completely,Disagree somewhat,Neutral,Agree somewhat,Agree somewhat,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,Poor team dynamics; Inefficient development processes; Poor scheduling; Unrealistic expectations; Poor documentation; Outdated technologies; Non-technical management; Interacting with non-technical people; Interacting with stupid people; Unspecific requirements; Limited resources,To get help for my job; To discover new job opportunities; To receive help on my personal projects; Beacause I love to learn
51884,Facebook,Albania,Southern Europe,Eastern Europe,20-24,22.0,Male,Developer; Engineer; Programmer,Back-end web developer,Back-end web developer,1 - 2 years,1.5,"$10,000 - $20,000",15000.0,,"Android; C++; C#; Cloud (AWS, GAE, Azure, etc.); Python; SQL Server",Android; C++; C#; Python; SQL Server; Windows Phone,Other (please specify),7.0,Employed full-time,Software Products,20-99 employees,5-9 people,I'm not sure,I rarely work remotely,I love my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Notepad++; Visual Studio,Once a day,1-2 hours per week,Dogs,Windows 7,I don't know,2 - 100,Multiple times a day,I want to be a better developer,I'm self-taught; On-the-job training,I am not interested in new job opportunities,Salary; Equity; Ability to make or influence important decisions; Work/life balance; Opportunity for advancement; Office location; Company culture,Other (please specify),50%,Introduce me to the boss; interview_coffee; Prepare me for who I will be speaking with,,Agree completely,Agree somewhat,Agree completely,Agree completely,Agree completely,Neutral,Agree completely,Agree completely,Agree completely,Neutral,I don't care about this,This is very important,I don't care about this,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,Trying to be nice,To get help for my job; To give help to others; Beacause I love to learn
2303,Facebook,Algeria,Northern Africa,Africa,40-49,44.5,Male,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2375,Facebook,Algeria,Northern Africa,Africa,25-29,27.0,Male,Developer; Engineer; Programmer; Sr. Developer; Manager; Ninja,Desktop developer,Desktop developer,2 - 5 years,3.5,Rather not say,,,SQL,C++; Java; SQL,No,8.0,Freelance / Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2879,Facebook,Algeria,Northern Africa,Africa,< 20,16.0,Male,Developer; Programmer; Hacker,Student,Student,1 - 2 years,1.5,,,,Ruby,AngularJS; JavaScript; PHP,No,7.0,I'm a student,,,,,,,,,A couple times a week,5-10 hours per week,Cats,Windows 10,Yes,2 - 100,Once a day,I want to be a better developer,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.)",I am not interested in new job opportunities,,,,Introduce me to the team,,,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree completely,,Agree somewhat,,Disagree completely,,,,,,,,,,,,To receive help on my personal projects; Beacause I love to learn
19003,Facebook,Algeria,Northern Africa,Africa,20-24,22.0,Male,Engineer; Programmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27219,Facebook,Algeria,Northern Africa,Africa,25-29,27.0,Male,Engineer; Programmer; Hacker,Desktop developer,Desktop developer,6 - 10 years,8.0,"$10,000 - $20,000",15000.0,,C; C++; JavaScript; PHP; Python,Go; Scala; Swift,No,9.0,Freelance / Contractor,Software Products,1-4 employees,1-4 people,0,Part-time remote,I love my job,Self-employed - I created my own job,Atom; Sublime; Vim; PyCharm,Once a day,5-10 hours per week,Other (please specify),Ubuntu,Yes,2 - 100,Multiple times a day,I'm curious,Masters Degree in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Remote working option; Flexible work hours; Building something that's innovative,Taking time off work to interview,70%,Be more flexible about interview scheduling; Fewer brainteasers; Prepare me for who I will be speaking with,,Agree completely,Agree somewhat,Agree completely,Agree completely,Neutral,Disagree completely,Neutral,Agree completely,Agree somewhat,Neutral,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,I don't care about this,Poor team dynamics; Interacting with stupid people; Poor infrastructure or equipment; Trying to be nice,To receive help on my personal projects; Beacause I love to learn
29553,Facebook,Algeria,Northern Africa,Africa,20-24,22.0,Male,Developer; Programmer; Hacker,Desktop developer,Desktop developer,2 - 5 years,3.5,"$90,000 - $100,000",95000.0,,C; C#; PHP; SQL,C++; Java,No,6.0,Unemployed,,,,,,,,Notepad++; Visual Studio,A couple times a week,10-20 hours per week,Cats,Windows 10,Yes,I don't have an account,Multiple times a day,To build a specific product I have in mind,I'm self-taught,I am actively looking for a new job,Remote working option; Flexible work hours; Building something that's innovative,Finding time to search for a job,70%,Show me more live code; Be more flexible about interview scheduling,Star Trek,Disagree somewhat,Agree completely,Agree completely,Neutral,Agree completely,Disagree completely,Agree completely,Agree completely,Agree completely,Disagree completely,This is very important,This is very important,I don't care about this,This is very important,This is very important,This is very important,This is somewhat important,This is very important,I don't care about this,I don't care about this,Fragile code base; Interacting with non-technical people; Interacting with stupid people; Limited resources,To give help to others; To communicate with others like me; To receive help on my personal projects; Beacause I love to learn
31646,Facebook,Algeria,Northern Africa,Africa,20-24,22.0,Male,Developer,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,"Less than $10,000",5000.0,,LAMP; PHP; SQL,Arduino / Raspberry Pi; C; Go; Redis,Other (please specify),9.0,I'm a student,,,,,,,,Atom; Sublime; Vim,Once a day,5-10 hours per week,Other (please specify),Mac OS X,Yes,2 - 100,Multiple times a day,I want to be a better developer,I'm self-taught,I am not interested in new job opportunities,Tech stack; Job title; Company culture,Writing my CV and keeping it updated,50%,Be more flexible about interview scheduling,,Agree somewhat,Agree completely,Agree completely,Agree somewhat,Neutral,Disagree completely,Agree completely,Agree somewhat,Neutral,Disagree completely,I don't care about this,This is somewhat important,I don't care about this,This is very important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,Limited resources,To give help to others; To communicate with others like me; Beacause I love to learn
32955,Facebook,Algeria,Northern Africa,Africa,< 20,16.0,Male,Developer,Back-end web developer,Back-end web developer,Less than 1 year,0.5,,,,JavaScript,JavaScript,No,4.0,I'm a student,,,,,,,,Sublime,A couple times a week,5-10 hours per week,Dogs,Windows 8,Yes,1,Once a day,Other (please specify),I'm self-taught,I am not interested in new job opportunities,Building something that's innovative,Finding time to search for a job,0%,Introduce me to the boss,,Agree somewhat,Agree completely,Agree completely,Agree completely,Disagree completely,Neutral,Disagree completely,Agree completely,Disagree somewhat,Disagree somewhat,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is very important,I don't care about this,I don't care about this,This is very important,This is very important,Trying to be nice,Beacause I love to learn
52957,Facebook,Algeria,Northern Africa,Africa,20-24,22.0,Male,Developer; Programmer,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,"Less than $10,000",5000.0,,Java; PHP; WordPress,Python; SQL,Yes,7.0,Freelance / Contractor,Education,10-19 employees,I am not on a team,"I am not on a ""team""",I rarely work remotely,I'm somewhat dissatisfied with my job,Facebook,Sublime; Eclipse,A couple times a week,20+ hours per week,Dogs,Mac OS X,I don't know,I'm not sure,Multiple times a day,I want to be a better developer,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.)",I am actively looking for a new job,Salary; Tech stack; Company reputation,Taking time off work to interview,100%,Be more flexible about interview scheduling; Introduce me to the boss; Introduce me to the team,Star Wars,Agree completely,Agree somewhat,Agree completely,Agree somewhat,Agree completely,Disagree completely,Disagree completely,Agree completely,Agree somewhat,Agree completely,This is very important,This is very important,I don't care about this,This is very important,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is very important,This is very important,Poor team dynamics; Interacting with non-technical people; Limited resources,To get help for my job; To communicate with others like me; Beacause I love to learn
53005,Facebook,Algeria,Northern Africa,Africa,20-24,22.0,Male,Developer; Engineer; Ninja,Student,Student,1 - 2 years,1.5,Unemployed,,,C; Java,Java; SQL; SQL Server,Yes,6.0,I'm a student,,,,,,,,Notepad++; Sublime; Eclipse,A couple times a week,None,Dogs,Windows 8,I don't know,I don't have an account,Once a day,I learn new technology when my job requires it,I'm self-taught; B.A. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Health insurance; Company stage; Job title; Company culture,Writing cover letters,0%,Introduce me to the boss; Introduce me to the team; Fewer brainteasers,Star Wars,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,This is very important,This is somewhat important,I don't care about this,This is very important,This is very important,This is very important,This is very important,This is very important,I don't care about this,This is somewhat important,Poor team dynamics; Fragile code base; Poor scheduling; Interacting with stupid people; Limited resources,To get help for my job; Because I can't do my job without it; To communicate with others like me
53096,Facebook,Algeria,Northern Africa,Africa,20-24,22.0,Male,Developer; Programmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Facebook,Andorra,Southern Europe,Western Europe,40-49,44.5,Male,Sr. Developer,Desktop developer,Desktop developer,11+ years,13.0,"$40,000 - $50,000",45000.0,,,,Yes,7.0,Employed full-time,Retail,500-999 employees,5-9 people,0,I rarely work remotely,I love my job,I knew I wanted to work here. I sought out the opportunity directly,,Multiple times a day,10-20 hours per week,Dogs,Windows 10,Yes,"501 - 1,000",Once a day,To keep my skills up to date,B.A. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Opportunity for advancement; Office location; Flexible work hours,Other (please specify),60%,Offer remote interviews (e.g. via video conference); Introduce me to the team; Show me the space in which I will work,Star Wars,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Disagree completely,Disagree somewhat,Agree somewhat,Agree somewhat,Agree completely,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is very important,This is somewhat important,Non-technical management; Changing requirements; Unspecific requirements,To get help for my job; To give help to others; Because I can't do my job without it; To receive help on my personal projects
5609,Facebook,Andorra,Southern Europe,Western Europe,,,,,Mobile developer - Windows Phone,"Mobile Dev (Android, iOS, WP & Multi-Platform)",,,,,,,,,,Employed full-time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34171,Facebook,Andorra,Southern Europe,Western Europe,20-24,22.0,Female,Hacker,Data scientist,"Mathematics Developers (Data Scientists, Machine Learning Devs & Devs with Stats & Math Backgrounds)",1 - 2 years,1.5,"$30,000 - $40,000",35000.0,,AngularJS; JavaScript; Spark,C++; iOS; Spark,Yes,7.0,Prefer not to disclose,Manufacturing,20-99 employees,10-14 people,1,Part-time remote,I'm somewhat dissatisfied with my job,LinkedIn,Xamarin,A few times a month,1-2 hours per week,Dogs,Windows 10,No,I'm not sure,Very rarely,I want to be a better developer,B.A. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary,Writing my CV and keeping it updated,,,,,,,,,,,,,,,,,,,,,,,,,
48096,Facebook,Antigua & Deps,Caribbean,Caribbean,20-24,22.0,Male,Programmer; Hacker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3415,Facebook,Argentina,South America,South America,20-24,22.0,Male,Programmer; Guru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14040,Facebook,Argentina,South America,South America,20-24,22.0,Male,Developer; Programmer,Back-end web developer,Back-end web developer,Less than 1 year,0.5,Unemployed,,,PHP,C++; Go; JavaScript; PHP,Yes,4.0,I'm a student,,,,,,,,Sublime; NetBeans; PhpStorm,A few times a month,20+ hours per week,Cats,Fedora,I don't know,I don't have an account,Multiple times a day,I want to be a better developer,I'm self-taught,"I'm not actively looking, but I am open to new opportunities",Opportunity for advancement; Building something that's significant; Building something that's innovative,Finding an open job that I'm qualified for,20%,Be more flexible about interview scheduling; interview_coffee; Prepare me for who I will be speaking with,Star Wars,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Neutral,Disagree completely,Agree completely,Disagree somewhat,Agree completely,This is somewhat important,I don't care about this,I don't care about this,This is very important,This is very important,This is somewhat important,I don't care about this,This is somewhat important,I don't care about this,I don't care about this,Inefficient development processes; Poor scheduling; Interacting with non-technical people; Interacting with stupid people; Limited resources,To get help for my job; Because I can't do my job without it; To communicate with others like me; To receive help on my personal projects; Beacause I love to learn
24573,Facebook,Argentina,South America,South America,25-29,27.0,Male,Developer,Back-end web developer,Back-end web developer,1 - 2 years,1.5,"$10,000 - $20,000",15000.0,,C#; Visual Basic,LAMP; Node.js; Python,Yes,6.0,Employed full-time,Finance / Banking,500-999 employees,5-9 people,0,Never,I'm somewhat dissatisfied with my job,Contacted by external recruiter,Notepad++; Sublime; Visual Studio,"I don't ""check-in or commit code"", but I do put code into production somewhat frequently",5-10 hours per week,Cats,Ubuntu,I don't know,I don't have an account,Once a day,To build a specific product I have in mind,I'm self-taught; On-the-job training; Some college coursework in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Work/life balance; Opportunity for advancement; Office location; Quality of colleagues; Company culture; Building something that's significant; Remote working option; Flexible work hours; Building something that's innovative,Taking time off work to interview,50%,Offer remote interviews (e.g. via video conference); Introduce me to the team; interview_coffee; Show me the space in which I will work,Star Wars,Neutral,Agree completely,Agree completely,Agree completely,Agree completely,Disagree completely,Agree somewhat,Agree completely,Neutral,Agree completely,This is very important,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,This is very important,This is somewhat important,This is very important,This is very important,Poor team dynamics; Inefficient development processes; Poor documentation; Outdated technologies; Non-technical management; Poor infrastructure or equipment; Limited resources,To get help for my job; To receive help on my personal projects; Beacause I love to learn
28900,Facebook,Argentina,South America,South America,25-29,27.0,Male,Developer; Full-stack Developer,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,"$30,000 - $40,000",35000.0,,"AngularJS; C; C++; Cloud (AWS, GAE, Azure, etc.); Go; Haskell; JavaScript; MongoDB; Node.js; PHP; Python; Redis; SQL",Go; JavaScript; MongoDB; Node.js; ReactJS; Redis; SQL,Yes,8.0,Employed full-time,Retail,100-499 employees,5-9 people,1,I rarely work remotely,I love my job,Contacted by company (in-house recruiter),Atom; Sublime; IntelliJ; PyCharm,Multiple times a day,1-2 hours per week,Other (please specify),Ubuntu,Yes,I don't have an account,Multiple times a day,I'm curious,"I'm self-taught; On-the-job training; Full-time, intensive program (e.g. ""boot-camp""); Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Industry certification program; Some college coursework in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Equity; Ability to make or influence important decisions; Health insurance; Tech stack; Work/life balance; Opportunity for advancement; Office location; Company culture; Building something that's significant; Remote working option; Flexible work hours; Building something that's innovative,Taking time off work to interview,30%,Show me more live code; Be more flexible about interview scheduling; Show me the space in which I will work; Fewer brainteasers,Star Wars; Star Trek,Agree completely,Agree completely,Agree completely,Agree completely,Neutral,Neutral,Agree somewhat,Agree somewhat,Neutral,Agree completely,This is very important,This is very important,I don't care about this,This is very important,This is very important,This is very important,This is somewhat important,This is very important,This is very important,This is somewhat important,Inefficient development processes; Fragile code base; Poor scheduling; Unrealistic expectations; Poor documentation; Corporate policies; Outdated technologies; Poor infrastructure or equipment,To get help for my job; Beacause I love to learn
