,collector,country,un_subregion,so_region,age_range,age_midpoint,gender,self_identification,occupation,occupation_group,experience_range,experience_midpoint,salary_range,salary_midpoint,big_mac_index,tech_do,tech_want,aliens,programming_ability,employment_status,industry,company_size_range,team_size_range,women_on_team,remote,job_satisfaction,job_discovery,dev_environment,commit_frequency,hobby,dogs_vs_cats,desktop_os,unit_testing,rep_range,visit_frequency,why_learn_new_tech,education,open_to_new_job,new_job_value,job_search_annoyance,interview_likelihood,how_to_improve_interview_process,star_wars_vs_star_trek,agree_tech,agree_notice,agree_problemsolving,agree_diversity,agree_adblocker,agree_alcohol,agree_loveboss,agree_nightcode,agree_legacy,agree_mars,important_variety,important_control,important_sameend,important_newtech,important_buildnew,important_buildexisting,important_promotion,important_companymission,important_wfh,important_ownoffice,developer_challenges,why_stack_overflow
55626,Meta Stack Overflow Post,Germany,Western Europe,Western Europe,25-29,27.0,Male,Developer; Programmer,Student,Student,6 - 10 years,8.0,"$40,000 - $50,000",45000.0,3.86,C; C#; JavaScript; Python; Ruby,Arduino / Raspberry Pi; C; C#,Yes,,Employed full-time,Other (please specify),I am not part of a company,5-9 people,3,Never,I'm somewhat satisfied with my job,I knew I wanted to work here. I sought out the opportunity directly,Sublime; Visual Studio,Multiple times a day,20+ hours per week,Dogs,Windows 10,Yes,"10,001+",Multiple times a day,I'm curious,I'm self-taught; B.S. in Computer Science (or related field),I am not interested in new job opportunities,Quality of colleagues; Remote working option; Flexible work hours,Writing cover letters,,Be more flexible about interview scheduling; Introduce me to the team; Prepare me for who I will be speaking with,Star Wars; Star Trek,Agree somewhat,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Agree somewhat,Agree somewhat,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is very important,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,Poor documentation; Outdated technologies; Interacting with stupid people; Unspecific requirements,To get help for my job; To give help to others; Because I can't do my job without it; whyso_onlinepresence; To demonstrate that I'm good at what I do; To receive help on my personal projects; Beacause I love to learn
55651,Meta Stack Overflow Post,Germany,Western Europe,Western Europe,35-39,37.0,Male,Developer; Programmer,Enterprise level services developer,Enterprise level services developer,11+ years,13.0,"$60,000 - $70,000",65000.0,3.86,C#; SQL; SQL Server; Visual Basic,"Arduino / Raspberry Pi; Cloud (AWS, GAE, Azure, etc.); JavaScript; Python",Yes,,Employed full-time,Manufacturing,100-499 employees,5-9 people,0,I rarely work remotely,I'm somewhat satisfied with my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Notepad++; Visual Studio,Multiple times a day,2-5 hours per week,Cats,Windows 7,I don't know,"10,001+",Multiple times a day,To keep my skills up to date,I'm self-taught; On-the-job training,"I'm not actively looking, but I am open to new opportunities",Ability to make or influence important decisions; Work/life balance; Remote working option,Finding an open job that I'm qualified for,,Show me more live code; Introduce me to the team; Show me the space in which I will work,Star Wars,Neutral,Agree completely,Agree completely,Neutral,Disagree completely,Disagree completely,Agree completely,Agree completely,Agree completely,Disagree completely,This is very important,This is very important,This is somewhat important,This is very important,This is very important,This is very important,I don't care about this,I don't care about this,This is somewhat important,I don't care about this,Fragile code base; Unspecific requirements; Limited resources,To get help for my job; To give help to others; whyso_onlinepresence; To communicate with others like me; To receive help on my personal projects; Beacause I love to learn
55669,Meta Stack Overflow Post,Germany,Western Europe,Western Europe,20-24,22.0,Prefer not to disclose,Developer; Engineer; Programmer,Full-stack web developer,Full-stack web developer,6 - 10 years,8.0,Unemployed,,3.86,C; JavaScript; Node.js,"C; Cloud (AWS, GAE, Azure, etc.); JavaScript; Node.js; ReactJS; Redis; Ruby; Scala",No,,Unemployed,,,,,,,,Vim,Multiple times a day,20+ hours per week,Cats,Other Linux,Other (please specify),"1,001 - 5,000",Multiple times a day,To build a specific product I have in mind,"I'm self-taught; On-the-job training; Full-time, intensive program (e.g. ""boot-camp""); Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field); B.S. in Computer Science (or related field)",I am actively looking for a new job,Building something that's significant; Remote working option; Building something that's innovative,The interview process,,Offer remote interviews (e.g. via video conference),,Neutral,Agree completely,Agree completely,Agree completely,Agree completely,Neutral,Neutral,Neutral,Disagree completely,Disagree completely,I don't care about this,This is very important,This is somewhat important,This is very important,This is very important,This is very important,I don't care about this,This is very important,This is very important,I don't care about this,Unrealistic expectations; Outdated technologies; Unspecific requirements,To get help for my job; To give help to others; Because I can't do my job without it; whyso_onlinepresence; To demonstrate that I'm good at what I do; To receive help on my personal projects; Beacause I love to learn
55690,Meta Stack Overflow Post,Germany,Western Europe,Western Europe,< 20,16.0,Male,Developer; Engineer; Programmer,,,,,,,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55697,Meta Stack Overflow Post,Germany,Western Europe,Western Europe,20-24,22.0,Male,Developer; Engineer; Programmer,Student,Student,2 - 5 years,3.5,,,3.86,Java,Haskell; Java; Python; SQL,No,,Other (please specify),Not Currently Employed,,,0,Never,I'm somewhat satisfied with my job,A friend referred me,Atom; IntelliJ,Multiple times a day,2-5 hours per week,Dogs,,Yes,"1,001 - 5,000",Multiple times a day,I'm curious,I'm self-taught; On-the-job training; B.S. in Computer Science (or related field),I am not interested in new job opportunities,Ability to make or influence important decisions; Company culture; Building something that's innovative,Writing cover letters,,Show me more live code; Introduce me to the team; Prepare me for who I will be speaking with,Star Wars,Neutral,Agree somewhat,Agree completely,Agree completely,Agree somewhat,Disagree completely,Agree somewhat,Agree somewhat,Agree somewhat,Agree completely,I don't care about this,This is very important,I don't care about this,This is somewhat important,This is somewhat important,This is very important,I don't care about this,This is somewhat important,I don't care about this,I don't care about this,Fragile code base; Poor documentation; Outdated technologies,To get help for my job; To give help to others; To communicate with others like me; Beacause I love to learn; I don't really use Stack Overflow. I just take surveys.
55725,Meta Stack Overflow Post,Germany,Western Europe,Western Europe,25-29,27.0,Female,Developer; Engineer; Programmer,Graphics programmer,Graphics programmer,2 - 5 years,3.5,"$30,000 - $40,000",35000.0,3.86,Android; C; C++; JavaScript; Python; SQL,Android; C; C++; Go; JavaScript; Node.js; Python; SQL,Yes,,Employed full-time,Gaming,500-999 employees,20+ people,1,I rarely work remotely,I'm somewhat satisfied with my job,I knew I wanted to work here. I sought out the opportunity directly,Sublime; Android Studio,Multiple times a day,5-10 hours per week,Other (please specify),Other Linux,Yes,101 - 500,Multiple times a day,Other (please specify),I'm self-taught; B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Tech stack; Work/life balance; Office location; Quality of colleagues; Company culture; Company reputation; Building something that's significant,Writing cover letters,,Introduce me to the team; Show me the space in which I will work,Star Wars,Agree somewhat,Agree completely,Agree completely,Agree completely,Agree somewhat,Disagree completely,Agree completely,Disagree somewhat,Agree completely,Disagree completely,I don't care about this,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is very important,This is somewhat important,This is very important,This is somewhat important,I don't care about this,Poor team dynamics; Poor scheduling,To get help for my job; To give help to others; Because I can't do my job without it; To communicate with others like me; To receive help on my personal projects
55740,Meta Stack Overflow Post,Germany,Western Europe,Western Europe,50-59,54.5,Male,,Analyst,Analyst,11+ years,13.0,"$80,000 - $90,000",85000.0,3.86,,Perl,No,,Employed full-time,Other (please specify),"1,000-4,999 employees",10-14 people,6,I rarely work remotely,I'm somewhat satisfied with my job,Contacted by company (in-house recruiter),,I never check-in or commit code,2-5 hours per week,Cats,Mac OS X,Yes,"1,001 - 5,000",Once a week,To keep my skills up to date,Some college coursework in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Work/life balance; Office location,Searching for a job that seems interesting,,Show me the space in which I will work; Fewer brainteasers; Prepare me for who I will be speaking with,Star Wars,Disagree somewhat,Agree somewhat,Agree completely,Neutral,Disagree somewhat,Disagree completely,Neutral,Disagree somewhat,Agree somewhat,Disagree completely,This is somewhat important,I don't care about this,I don't care about this,This is somewhat important,I don't care about this,This is somewhat important,I don't care about this,I don't care about this,This is somewhat important,This is somewhat important,Inefficient development processes; Fragile code base; Unrealistic expectations; Poor documentation; Unspecific requirements,To get help for my job; To give help to others; To demonstrate that I'm good at what I do; Beacause I love to learn
55758,Meta Stack Overflow Post,Germany,Western Europe,Western Europe,40-49,44.5,Female,Developer; Programmer,Desktop developer,Desktop developer,11+ years,13.0,Rather not say,,3.86,Java,Android; C#; Java,Yes,,Employed full-time,Other (please specify),500-999 employees,5-9 people,3,Never,I love my job,I knew I wanted to work here. I sought out the opportunity directly,Sublime; Vim; Eclipse,Multiple times a day,1-2 hours per week,Cats,Windows 8,Yes,"1,001 - 5,000",Multiple times a day,I want to be a better developer,I'm self-taught; On-the-job training; Masters Degree in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Health insurance; Company culture; Building something that's significant; Flexible work hours; Building something that's innovative,Searching for a job that seems interesting,,Show me more live code; Introduce me to the team; interview_coffee; Show me the space in which I will work,Star Trek,Agree somewhat,Agree completely,Agree completely,Agree completely,Disagree somewhat,Disagree completely,Neutral,Agree somewhat,Agree somewhat,Disagree completely,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is very important,This is very important,I don't care about this,This is very important,I don't care about this,I don't care about this,Unrealistic expectations; Non-technical management; Changing requirements; Unspecific requirements; Limited resources,To get help for my job; To give help to others; Beacause I love to learn
55764,Meta Stack Overflow Post,Germany,Western Europe,Western Europe,50-59,54.5,Male,,Data scientist,"Mathematics Developers (Data Scientists, Machine Learning Devs & Devs with Stats & Math Backgrounds)",11+ years,13.0,"$170,000 - $180,000",175000.0,3.86,Python; R,R,Other (please specify),,Employed full-time,Software Products,"10,000+ employees",15-20 people,2,Full-time remote,I love my job,A friend referred me,Notepad++; IPython / Jupyter; RStudio; Visual Studio,Once a day,2-5 hours per week,,Windows 10,Yes,"1,001 - 5,000",Multiple times a day,I'm curious,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.)",I am not interested in new job opportunities,Salary; Tech stack; Remote working option,Writing my CV and keeping it updated,,Show me more live code; Introduce me to the team; Prepare me for who I will be speaking with,Star Trek,Agree completely,Agree completely,Agree completely,Agree somewhat,Disagree completely,Agree somewhat,Agree completely,Agree somewhat,Disagree completely,Agree somewhat,This is somewhat important,I don't care about this,I don't care about this,This is very important,This is very important,This is somewhat important,I don't care about this,This is very important,This is very important,This is somewhat important,Poor team dynamics; Changing requirements; Limited resources,To get help for my job; To give help to others; whyso_onlinepresence; To demonstrate that I'm good at what I do
55772,Meta Stack Overflow Post,Germany,Western Europe,Western Europe,20-24,22.0,Male,Developer; Programmer; Full Stack Overflow Developer,Mobile developer - iOS,"Mobile Dev (Android, iOS, WP & Multi-Platform)",6 - 10 years,8.0,"$50,000 - $60,000",55000.0,3.86,iOS; Java; SQL; Swift; Visual Basic,,No,,Employed full-time,Consulting,100-499 employees,5-9 people,0,Never,I love my job,I knew I wanted to work here. I sought out the opportunity directly,IntelliJ; NetBeans; Xcode,Multiple times a day,10-20 hours per week,Dogs,Mac OS X,Yes,"10,001+",Multiple times a day,To build a specific product I have in mind,I'm self-taught; On-the-job training; B.S. in Computer Science (or related field),I am not interested in new job opportunities,Salary; Ability to make or influence important decisions; Tech stack; Company stage; Work/life balance; Opportunity for advancement; Office location; Quality of colleagues; Company culture,Writing cover letters,,,Star Wars,Agree somewhat,Agree completely,Agree completely,Neutral,Agree somewhat,Disagree completely,Agree somewhat,Agree completely,Agree completely,Neutral,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,Poor documentation; Outdated technologies; Interacting with stupid people; Unspecific requirements,To give help to others; whyso_onlinepresence; To demonstrate that I'm good at what I do; Beacause I love to learn
55834,Meta Stack Overflow Post,Germany,Western Europe,Western Europe,25-29,27.0,Male,Hacker,Student,Student,6 - 10 years,8.0,"$10,000 - $20,000",15000.0,3.86,Java; JavaScript; Node.js,Android; AngularJS; Go; JavaScript; Node.js; ReactJS; Ruby,Other (please specify),,Employed part-time,Education,100-499 employees,1-4 people,0,Never,I'm neither satisfied nor dissatisfied,I knew I wanted to work here. I sought out the opportunity directly,Notepad++; IntelliJ,Multiple times a day,5-10 hours per week,Other (please specify),Windows 8,Yes,"10,001+",Multiple times a day,I'm curious,I'm self-taught; B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Tech stack; Work/life balance; Office location; Flexible work hours,Finding an open job that I'm qualified for,,Show me more live code; Prepare me for who I will be speaking with,,Neutral,Agree somewhat,Neutral,Agree somewhat,Agree somewhat,Disagree completely,Agree somewhat,Neutral,Disagree somewhat,Disagree completely,This is somewhat important,I don't care about this,I don't care about this,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,Inefficient development processes; Unrealistic expectations; Changing requirements,To give help to others; whyso_onlinepresence; To demonstrate that I'm good at what I do
55845,Meta Stack Overflow Post,Germany,Western Europe,Western Europe,30-34,32.0,Male,Developer; Ninja,Enterprise level services developer,Enterprise level services developer,2 - 5 years,3.5,"$50,000 - $60,000",55000.0,3.86,C#; Java; SQL; SQL Server,AngularJS; C#; Java; JavaScript; SQL; SQL Server,Yes,,Employed full-time,Finance / Banking,"1,000-4,999 employees",10-14 people,3,I rarely work remotely,I'm somewhat dissatisfied with my job,I knew I wanted to work here. I sought out the opportunity directly,Notepad++; Eclipse; Visual Studio,Multiple times a day,2-5 hours per week,Cats,Windows 7,Yes,"501 - 1,000",Multiple times a day,I want to be a better developer,B.A. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Tech stack; Company size; Office location; Quality of colleagues; Flexible work hours,The interview process,,Show me more live code; Introduce me to the team; Show me the space in which I will work,Star Wars,Agree completely,Agree somewhat,Agree completely,Agree somewhat,Agree completely,Disagree completely,Agree somewhat,Agree somewhat,Neutral,Disagree completely,This is very important,This is very important,I don't care about this,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,Poor team dynamics; Inefficient development processes; Corporate policies; Outdated technologies; Non-technical management; Interacting with stupid people; Limited resources,To communicate with others like me; Beacause I love to learn
55892,Meta Stack Overflow Post,Germany,Western Europe,Western Europe,35-39,37.0,Male,Engineer; Programmer; Sr. Developer; Expert; Full-stack Developer,Desktop developer,Desktop developer,11+ years,13.0,,,3.86,Android; C; C#; Java; SQL,Android; C; C++; C#; Python; Rust; SQL,No,,Employed full-time,Software Products,10-19 employees,1-4 people,0,Never,I'm somewhat satisfied with my job,A friend referred me,Vim; Android Studio; Visual Studio,Once a day,5-10 hours per week,Cats,Other Linux,Yes,"10,001+",Multiple times a day,I want to be a better developer,I'm self-taught; On-the-job training; Masters Degree in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Work/life balance; Office location,The interview process,,Fewer brainteasers; Prepare me for who I will be speaking with,Star Wars,Neutral,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree completely,Disagree completely,Disagree somewhat,Agree completely,Disagree completely,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,This is somewhat important,Inefficient development processes; Poor scheduling; Unspecific requirements,To get help for my job; To give help to others; To demonstrate that I'm good at what I do; To receive help on my personal projects
