Armenia,20-24,Female,Tabs,2 - 5 years,Desktop developer,Other Linux,,,,,,C++,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C++,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-the-job training,,,,,,Bachelor of Science in Computer Science (or related field),,,,"Less than $20,000",10000,Employed full-time,Gaming,I'm somewhat satisfied with my job,I can recommend or request products,I rarely work remote,Yes,I am not interested in other job opportunities,Salary,,,,,,,,,Opportunity for advancement,,,,,,Building something that matters,,,Neutral - I don't mind working in the office or remotely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,25-29,Male,It depends,6 - 10 years,Desktop developer,Windows 8,,Android,,,C,C++,,C#,,,,,,,,,,,iOS,,JavaScript,,,,,,Perl,,,,,,,,,,,,,,,Windows Phone,,,Android,,,C,C++,,C#,,,,,,,,,,,iOS,,JavaScript,,,,,,Perl,,,,,,,,,,,,,,,Windows Phone,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$40,000 - $60,000",50000,Employed full-time,Gaming,I'm somewhat satisfied with my job,I can recommend or request products,Never,Yes,I am open to new job opportunities,,,,,,,,,Work/life balance,,,,,Company culture,,Building something that matters,,,Not important,Finding time to job search,,,,,,The interview process,Rarely,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Tolerate,Great,I don't have an account,Hate,Tolerate,Tolerate,Hate,,,,Team I would be working with isædescribed,,Salary information is provided,,,,,,,,,,Details about the product or project I'd be working on,Hate,Tolerate,Tolerate,Great,Great,Show meæmore live code,,,,,Offer me a decent cup of coffee,,Fewer brainteasers,,,It's a jobs site specificallyæfor programmers,,,,,3,2-5 hours per week,Once a day,NotePad++,,Light,,,SVN,,Perforce,,,,,,,Perforce,,To get help for my job,,,,,,,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,,,,,,
Australia,20-24,Male,Spaces,6 - 10 years,Desktop developer,Windows 7,,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C#,,,,,,,,,,,,,,,,,Node.js,,,,,,,,,,,,,,,,,,,,,On-the-job training,,,,,,Bachelor of Science in Computer Science (or related field),,,Other,"$20,000 - $40,000",30000,Employed part-time,Gaming,I'm somewhat satisfied with my job,"I influence purchasing decisions, but don't have final approval",I rarely work remote,Yes,I am not interested in other job opportunities,Salary,,,,,,,,Work/life balance,,,,,,,,,Flexible work hours,Neutral - I don't mind working in the office or remotely,Finding time to job search,,Searching for a job that seems interesting,,Writing my CV and keeping it updated,,,About once a week,I wish more recruiters contacted me!,Great,I don't have an account,I don't have an account,Great,Tolerate,Great,Tolerate,,Code or projects I've worked on are referenced,,Team I would be working with isædescribed,,Salary information is provided,,,Salary,,Company name,,,,,Details about the product or project I'd be working on,Tolerate,Tolerate,Great,Great,Great,,,,,Introduce me to the team,Offer me a decent cup of coffee,,,,,,,,,,3,10-20 hours per week,Multipleætimes a day,Sublime Text,,Dark,Git,,SVN,,,,,,,,,SVN,,To get help for my job,,Because I can't do my job without it,,,,To receive help onæmy personal projects,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,It feels good to demonstrate my expertise.,,I feel a sense of responsibility to the developer community,,,"I don't answer much (or at all), but I want to answer more"
Austria,30-34,Male,Spaces,11+ years,Desktop developer,Mac OS X,,,,,,,C++11,C#,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,,,,,,,,,,,,,,,,,,,C++11,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$40,000 - $60,000",50000,Employed full-time,Gaming,I'm somewhat satisfied with my job,I can recommend or request products,Never,Yes,I am open to new job opportunities,,,,,,Tech stack,,,,,,,Quality of colleagues,,,Building something that matters,,,Neutral - I don't mind working in the office or remotely,,,Searching for a job that seems interesting,,Writing my CV and keeping it updated,,,Rarely,I wish more recruiters contacted me!,Tolerate,Hate,Hate,Tolerate,I don't have an account,Hate,Hate,Message is personalized,Code or projects I've worked on are referenced,,Team I would be working with isædescribed,,,,,,,,Tech stack,,,People I would be working with,,Hate,Tolerate,Tolerate,Tolerate,Great,,,,,Introduce me to the team,,Show me the space in which I will work,Fewer brainteasers,,,,,,,,1,2-5 hours per week,Once a day,Vim,,Light,Git,,,,Perforce,,,,,,,Git,,To get help for my job,To give help to others,,,,,,,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,,Demonstrating my expertise will benefit me,,,,
Bulgaria,25-29,Male,It depends,2 - 5 years,Desktop developer,Other Linux,,,,,C,C++,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arduino / Raspberry Pi,,C,C++,C++11,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,,,On-the-job training,,,,,,Bachelor of Science in Computer Science (or related field),,,,,,Employed full-time,Gaming,I'm somewhat satisfied with my job,Other,Never,Yes,I am not interested in other job opportunities,,,,,,Tech stack,,,,,,,,,,Building something that matters,,Flexible work hours,Somewhat important,,,Searching for a job that seems interesting,,Writing my CV and keeping it updated,Taking time off work to interview,,About once a week,,Tolerate,Tolerate,I don't have an account,Hate,Tolerate,I don't have an account,Tolerate,Message is personalized,Code or projects I've worked on are referenced,,,,,Benefits / perks of the work environment are described,,Salary,,,Tech stack,Office location,,,Details about the product or project I'd be working on,Tolerate,Tolerate,Tolerate,Great,Great,Show meæmore live code,,,,Introduce me to the team,,Show me the space in which I will work,,,,,,,,,1,2-5 hours per week,Multipleætimes a day,Vim,,I don't use an IDE,Git,,SVN,,,,,,,,,Git,,To get help for my job,To give help to others,,,To demonstrate that I'm good at what I do,,To receive help onæmy personal projects,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,It feels good to demonstrate my expertise.,,I feel a sense of responsibility to the developer community,,,"I don't answer much (or at all), but I want to answer more"
Canada,35-39,Male,Tabs,11+ years,Desktop developer,Windows 7,,,,,,C++,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$80,000 - $100,000",90000,Employed full-time,Gaming,I love my job,I have a discretionary budget at my disposal,I rarely work remote,No,I am not interested in other job opportunities,,,,,,,Company size,,Work/life balance,,,Office location,,,,,,,Neutral - I don't mind working in the office or remotely,,,Searching for a job that seems interesting,,,,,About once a week,"Please, make the recruiter spamŒæstop",Hate,Hate,I don't have an account,Hate,Hate,Hate,Hate,Message is personalized,,,,,,,,,,,,,,,Details about the product or project I'd be working on,,,,,,,,,,,,,Fewer brainteasers,,,It's a jobs site specificallyæfor programmers,,,,,0,1-2 hours per week,Once a month,NotePad++,,Light,,,SVN,,Perforce,,,,,,,SVN,,To get help for my job,,,,,,,,,Usually,,My answer will help lots of people who have the same problem in the future,,,,,,
Canada,25-29,Male,Spaces,2 - 5 years,Desktop developer,Windows 7,,,,,,C++,C++11,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C++,C++11,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$40,000 - $60,000",50000,Employed full-time,Gaming,I love my job,I can recommend or request products,Never,No,I am not interested in other job opportunities,,,,,,,,,Work/life balance,Opportunity for advancement,,,,,,Building something that matters,,,Not important,,,,,,Taking time off work to interview,The interview process,Never,I wish more recruiters contacted me!,Tolerate,I don't have an account,I don't have an account,Tolerate,Tolerate,Tolerate,,,,,,,,,,,,,,,,,,Hate,Tolerate,Great,Great,Great,,,,,,,,,,,,,,,Other,3,2-5 hours per week,Once a week,Sublime Text,,Dark,,,SVN,,,,,,,,,Git,,To get help for my job,To give help to others,Because I can't do my job without it,To maintain an online presence,,To communicate with others like me,,,,Usually,,,,,,,"I don't answer much (or at all), and I don't want to",
China,20-24,Male,It depends,6 - 10 years,Desktop developer,Windows 7,,,,,C,C++,C++11,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C++11,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,Rather not say,Rather not say,Employed full-time,Gaming,I'm somewhat satisfied with my job,"I influence purchasing decisions, but don't have final approval",Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,40-50,Male,Spaces,11+ years,Desktop developer,Windows 7,,,Arduino / Raspberry Pi,,,C++,C++11,C#,,,,,,,,,,,,Java,,,,,,,,,,,,,,,Scala,,,SQL,SQL Server,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scala,,,,,,,,,,,,,,,,,,Masters Degree in Computer Science (or related field),,,"$120,000 - $140,000",130000,Freelance / Contractor,Gaming,I'm somewhat satisfied with my job,I can buy anything I want without asking anyone,Part-time Remote,Yes,I am not interested in other job opportunities,Salary,,,,,,,,Work/life balance,,,,,Company culture,,,,,Very important,,,,,,,,About once a week,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Hate,Tolerate,I don't have an account,Hate,Tolerate,I don't have an account,I don't have an account,,Code or projects I've worked on are referenced,,Team I would be working with isædescribed,Company culture is described,,,,,,,,Office location,,People I would be working with,Details about the product or project I'd be working on,Tolerate,Tolerate,Tolerate,Tolerate,Tolerate,,,,,,,,,,,It's a jobs site specificallyæfor programmers,Goodæselection of relevant jobs,,,,0,1-2 hours per week,Multipleætimes a day,NotePad++,,Light,Git,,SVN,,,,,,,,,SVN,,To get help for my job,To give help to others,,,To demonstrate that I'm good at what I do,,,,,Usually,It feels good to help a programmer in need,,It feels good to demonstrate my expertise.,,I feel a sense of responsibility to the developer community,I have no idea why I answer but I do it anyway,,
Finland,20-24,Male,Tabs,6 - 10 years,Desktop developer,Windows 8,,,,,,C++,C++11,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C++,C++11,C#,,,,,,,,,,,,,,,,,Node.js,,,,,,,,,,,,,,,Swift,,,,,,On-the-job training,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$20,000 - $40,000",30000,Employed full-time,Gaming,I'm somewhat satisfied with my job,I can recommend or request products,Never,No,I am open to new job opportunities,,,,,,,,,Work/life balance,,,,Quality of colleagues,Company culture,,,,,Neutral - I don't mind working in the office or remotely,,,Searching for a job that seems interesting,,,Taking time off work to interview,,Rarely,I wish more recruiters contacted me!,Great,Great,I don't have an account,Hate,I don't have an account,Hate,Hate,,,,Team I would be working with isædescribed,Company culture is described,Salary information is provided,,,,,,,Office location,,People I would be working with,Details about the product or project I'd be working on,Tolerate,Tolerate,Great,Great,Great,,Be more flexible about interview scheduling,,,,,,,,,,,,,,4,2-5 hours per week,Multipleætimes a day,Sublime Text,,Dark,Git,,SVN,,,,,,,,,Git,,To get help for my job,,,,,,,Because I love to learn,,Usually,,,,,,,,"I don't answer much (or at all), but I want to answer more"
France,35-39,Male,It depends,11+ years,Desktop developer,Mac OS X,,,,,,,,,,,,,,Dart,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,Visual Basic,,,,,,,,,,,,,,,,Dart,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,Visual Basic,,,,,,,,,,,,,PhD in Computer Science (or related field),,"$60,000 - $80,000",70000,Freelance / Contractor,Gaming,I love my job,I can buy anything I want without asking anyone,Full-time Remote,Yes,I am open to new job opportunities,Salary,,,,,,,,,,,,,,,Building something that matters,Remote working options,,It's non-negotiable,,,Searching for a job that seems interesting,,,,,Never,"Please, make the recruiter spamŒæstop",Great,Tolerate,I don't have an account,Hate,Great,I don't have an account,I don't have an account,,,,Team I would be working with isædescribed,Company culture is described,Salary information is provided,,,Salary,,,,,,,Details about the product or project I'd be working on,Tolerate,Tolerate,Tolerate,Great,Great,,,,,,Offer me a decent cup of coffee,,,,,,,,,,4,10-20 hours per week,Multipleætimes a day,NotePad++,,Dark,Git,Mercurial,,,,,,,,,,Git,,,To give help to others,,,To demonstrate that I'm good at what I do,To communicate with others like me,,Because I love to learn,,Sometimes,,My answer will help lots of people who have the same problem in the future,,Demonstrating my expertise will benefit me,,,,
Germany,20-24,Male,Tabs,6 - 10 years,Desktop developer,Windows 7,,,,,,C++,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,Actionscript 3.0,,,,,C++,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,Actionscript,No formal training; I'm self-taught,,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,Some college coursework in Computer Science (or related field) but no degree,Bachelor of Science in Computer Science (or related field),,,,Rather not say,Rather not say,Freelance / Contractor,Gaming,I love my job,I can buy anything I want without asking anyone,I rarely work remote,No,I am not interested in other job opportunities,,,,,Industry,,,,,,,,,Company culture,,,Remote working options,,Very important,Finding time to job search,,,,Writing my CV and keeping it updated,,The interview process,Rarely,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,I don't have an account,I don't have an account,Hate,I don't have an account,Tolerate,I don't have an account,Message is personalized,Code or projects I've worked on are referenced,,,,Salary information is provided,,,,,Company name,,Office location,Job title,People I would be working with,Details about the product or project I'd be working on,Hate,Tolerate,Great,Great,Great,,,Offer remote interviews (ie. via video conference),,,Offer me a decent cup of coffee,Show me the space in which I will work,,,,,,,,,4,10-20 hours per week,Multipleætimes a day,NotePad++,,Dark,Git,,,,,,,,,,,Git,,To get help for my job,,,,,,To receive help onæmy personal projects,Because I love to learn,,Usually,,,,,,,,"I don't answer much (or at all), but I want to answer more"
Germany,20-24,Male,Spaces,2 - 5 years,Desktop developer,Windows 8,,,,,,C++,C++11,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C++11,C#,,,,,,,,,,Haskell,,,,,,,,,,,Python,,,,Rust,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,"$20,000 - $40,000",30000,Employed full-time,Gaming,I'm somewhat satisfied with my job,I can recommend or request products,Never,No,I am open to new job opportunities,,,,,,,,,Work/life balance,Opportunity for advancement,,,,Company culture,,,,,Neutral - I don't mind working in the office or remotely,,,,,Writing my CV and keeping it updated,,The interview process,Rarely,,Great,I don't have an account,I don't have an account,Hate,Great,Hate,I don't have an account,Message is personalized,,,,Company culture is described,Salary information is provided,,,Salary,,,,,,People I would be working with,Details about the product or project I'd be working on,Hate,Tolerate,Tolerate,Great,Great,Show meæmore live code,,,,Introduce me to the team,,,Fewer brainteasers,,,,,To showcase my Stack Overflow activity,,,0,5-10 hours per week,Multipleætimes a day,Vim,,Dark,Git,Mercurial,,,Perforce,,,,,,,Git,,,To give help to others,,,,,,Because I love to learn,,,,,It feels good to demonstrate my expertise.,Demonstrating my expertise will benefit me,,,"I don't answer much (or at all), and I don't want to",
India,25-29,Male,Spaces,1 - 2 years,Desktop developer,Ubuntu,,,,,,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C++,C++11,,,,,,,,,,,,,,,,,,,,Perl,,Python,,,,,,,,,,,,,,,,No formal training; I'm self-taught,On-the-job training,,,,,,,,,,"$20,000 - $40,000",30000,Employed full-time,Gaming,I'm somewhat satisfied with my job,I can recommend or request products,I rarely work remote,No,I am not interested in other job opportunities,Salary,,,,,,,,,,,,,Company culture,,Building something that matters,,,Neutral - I don't mind working in the office or remotely,Finding time to job search,,,,Writing my CV and keeping it updated,Taking time off work to interview,,Never,I wish more recruiters contacted me!,Great,Great,,Tolerate,Great,Great,Hate,Message is personalized,,,,,Salary information is provided,Benefits / perks of the work environment are described,,Salary,Benefits,Company name,Tech stack,Office location,,People I would be working with,Details about the product or project I'd be working on,Tolerate,Tolerate,Tolerate,Great,Tolerate,,Be more flexible about interview scheduling,,Introduce me to the boss,,,,,Prepare me for who I will be speaking with,,,,,,,1,5-10 hours per week,Multipleætimes a day,Vim,,Light,Git,,SVN,,Perforce,,,,,,,Perforce,,To get help for my job,,Because I can't do my job without it,,,,,,,Usually,It feels good to help a programmer in need,,,,I feel a sense of responsibility to the developer community,,,
Kyrgyzstan,25-29,Male,Tabs,6 - 10 years,Desktop developer,Windows 7,,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-the-job training,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$20,000 - $40,000",30000,Employed full-time,Gaming,I love my job,I have no say in purchasing what I need or want at work,I rarely work remote,Yes,I am not interested in other job opportunities,Salary,,,,,,,,,,,,Quality of colleagues,,,,,Flexible work hours,Neutral - I don't mind working in the office or remotely,,Finding an open job that I'm qualified for,,,,,,Rarely,I wish more recruiters contacted me!,Tolerate,I don't have an account,I don't have an account,Tolerate,I don't have an account,I don't have an account,I don't have an account,,,,Team I would be working with isædescribed,Company culture is described,,Benefits / perks of the work environment are described,,,,,Tech stack,,,People I would be working with,Details about the product or project I'd be working on,Hate,Hate,Great,Great,Great,Show meæmore live code,,,,,,,Fewer brainteasers,,,,,,,,2,1-2 hours per week,Once a day,Emacs,,Dark,Git,,SVN,,,,,,,,,Git,,,,,,,,To receive help onæmy personal projects,Because I love to learn,,Usually,,,,,,,,"I don't answer much (or at all), but I want to answer more"
Netherlands,20-24,Male,Tabs,2 - 5 years,Desktop developer,Windows 8,,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,ActionScript 3.0,,,AngularJS,,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$20,000 - $40,000",30000,Employed full-time,Gaming,I'm somewhat satisfied with my job,I can recommend or request products,Never,Yes,I am not interested in other job opportunities,,,,,,,Company size,,,,,Office location,,Company culture,,,,,Neutral - I don't mind working in the office or remotely,,Finding an open job that I'm qualified for,Searching for a job that seems interesting,,Writing my CV and keeping it updated,,,About once a week,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Tolerate,I don't have an account,Hate,I don't have an account,I don't have an account,I don't have an account,Message is personalized,Code or projects I've worked on are referenced,,,,,,,,,,,,,,Details about the product or project I'd be working on,Hate,Tolerate,Great,Great,Great,Show meæmore live code,,,,Introduce me to the team,,,,,,,,,,,1,2-5 hours per week,Once a day,Sublime Text,,Dark,,,SVN,,,,,,,,,Git,,To get help for my job,,,,,,To receive help onæmy personal projects,Because I love to learn,,Usually,,My answer will help lots of people who have the same problem in the future,,,,,,"I don't answer much (or at all), but I want to answer more"
Netherlands,< 20,Male,It depends,2 - 5 years,Desktop developer,Windows 7,,,,,,C++,C++11,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,,Android,,,,C++,C++11,C#,,,,,,,,,,,,Java,,,,,,Objective-C,,,,,,,,,,,,SQL,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,Rather not say,Rather not say,Freelance / Contractor,Gaming,I love my job,Other,Full-time Remote,No (I'm a student),I am open to new job opportunities,,,Ability to make or influence important decisions,,,,,,,Opportunity for advancement,Job title,,,,,,,,Somewhat important,,Finding an open job that I'm qualified for,,,Writing my CV and keeping it updated,,,Rarely,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Tolerate,I don't have an account,I don't have an account,Hate,Tolerate,I don't have an account,Tolerate,Message is personalized,Code or projects I've worked on are referenced,Stack Overflow activity is mentioned,,,,,,Salary,,,,,Job title,,Details about the product or project I'd be working on,Tolerate,Tolerate,Great,Tolerate,Great,Show meæmore live code,,,Introduce me to the boss,Introduce me to the team,,,,,,,,,,,2,20+ hours per week,Multipleætimes a day,NotePad++,,Dark,Git,,,,,,,,,,,Git,,,To give help to others,,,To demonstrate that I'm good at what I do,,To receive help onæmy personal projects,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,,,I feel a sense of responsibility to the developer community,,,
Pakistan,25-29,Male,It depends,2 - 5 years,Desktop developer,Windows 8,,Android,,,C,C++,C++11,C#,,,,,,,,,,,iOS,Java,JavaScript,,,,,Objective-C,,,Python,,,,,,,,,SQL,SQL Server,,,,,,Android,,,C,C++,C++11,C#,,,,,,,,,,,iOS,Java,JavaScript,,,,,Objective-C,,,Python,,,,,,,,,SQL,SQL Server,,,,,,No formal training; I'm self-taught,,,,,,,,,,,"Less than $20,000",10000,Employed full-time,Gaming,Other (please specify),I can recommend or request products,I rarely work remote,No,I am open to new job opportunities,,,,,,,,,Work/life balance,,,,,,,,,Flexible work hours,Neutral - I don't mind working in the office or remotely,Finding time to job search,Finding an open job that I'm qualified for,,Interesting companies rarely respond,,,,Rarely,I wish more recruiters contacted me!,Great,,,Great,,,,,,,,,Salary information is provided,Benefits / perks of the work environment are described,,,,Company name,,,,,Details about the product or project I'd be working on,,,,,Great,,Be more flexible about interview scheduling,Offer remote interviews (ie. via video conference),,,,,,,,,,,Because the jobs ads are right there on Stack Overflow,,0,20+ hours per week,Multipleætimes a day,NotePad++,"visual studio (it really works!), other times i prefer to use xcode or android studio (as most of the time even if im writing technical notes.. it contains codes), if me in really hurry i prefer simple windows notepad, else notepad++",Dark,Git,,,,,,,,,,,Git,,To get help for my job,,,,,,To receive help onæmy personal projects,Because I love to learn,,Usually,,,,,,,,"I don't answer much (or at all), but I want to answer more"
Poland,Prefer not to disclose,Male,Tabs,11+ years,Desktop developer,Windows 7,,,,,C,C++,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,,,AngularJS,C,C++,C++11,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,"$20,000 - $40,000",30000,Employed full-time,Gaming,I'm somewhat satisfied with my job,I can recommend or request products,I rarely work remote,No,I am open to new job opportunities,Salary,,Ability to make or influence important decisions,,Industry,,,,,,,,,,,,,,Neutral - I don't mind working in the office or remotely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,25-29,Male,Spaces,6 - 10 years,Desktop developer,Debian,,,,,,C++,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haskell,,,,,,,,,,,,,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,Unemployed,Unemployed,Employed full-time,Gaming,I hate my job,I have no say in purchasing what I need or want at work,Full-time Remote,No,I am open to new job opportunities,,,,,,,,,,,,,,,,Building something that matters,Remote working options,,Very important,Finding time to job search,Finding an open job that I'm qualified for,Searching for a job that seems interesting,,,,,About once a week,"Please, make the recruiter spamŒæstop",Great,Tolerate,I don't have an account,Hate,I don't have an account,I don't have an account,I don't have an account,,Code or projects I've worked on are referenced,,Team I would be working with isædescribed,Company culture is described,,,,,,,Tech stack,,,,,Hate,Hate,Hate,Great,Great,Show meæmore live code,,,,,Offer me a decent cup of coffee,,,,,,,,,,More than 10,10-20 hours per week,Multipleætimes a day,Emacs,,Light,Git,,,,,,,,,,,Git,,To get help for my job,,,,,,To receive help onæmy personal projects,,,Usually,,,,,,,,"I don't answer much (or at all), but I want to answer more"
Russian Federation,30-34,Male,Tabs,6 - 10 years,Desktop developer,Windows 7,,,,,,C++,C++11,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,,,,,,C++,C++11,C#,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,,,Employed full-time,Gaming,I'm somewhat satisfied with my job,I can recommend or request products,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,30-34,Male,Tabs,11+ years,Desktop developer,Windows 8,,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Android,,,,,,C#,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,Windows Phone,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"Less than $20,000",10000,Employed full-time,Gaming,I'm neither satisfied nor dissatisfied with my job,I can recommend or request products,Never,No,I am open to new job opportunities,,,,,,,,,,Opportunity for advancement,,,Quality of colleagues,,,,,Flexible work hours,Neutral - I don't mind working in the office or remotely,Finding time to job search,,,,,Taking time off work to interview,The interview process,Rarely,I wish more recruiters contacted me!,Tolerate,Hate,I don't have an account,Tolerate,Tolerate,I don't have an account,Hate,,,,Team I would be working with isædescribed,,Salary information is provided,Benefits / perks of the work environment are described,,Salary,Benefits,,Tech stack,Office location,,,,Hate,Tolerate,Tolerate,Great,Great,Show meæmore live code,,,,,,Show me the space in which I will work,,,,,,,,Other,1,1-2 hours per week,Once a day,NotePad++,,Light,,,SVN,,,TFS,,,,,,TFS,,To get help for my job,,,,,,,Because I love to learn,,Always,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,,,,,,
Spain,30-34,Male,Tabs,11+ years,Desktop developer,Windows 8,,,,,,C++,C++11,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,Lua,,,,,C++,C++11,C#,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,,On-the-job training,,,,,,Bachelor of Science in Computer Science (or related field),Masters Degree in Computer Science (or related field),,,"$20,000 - $40,000",30000,Employed full-time,Gaming,I love my job,I can recommend or request products,Never,Yes,I am not interested in other job opportunities,,,,,,,,,Work/life balance,,,,Quality of colleagues,,,,,Flexible work hours,Neutral - I don't mind working in the office or remotely,,Finding an open job that I'm qualified for,Searching for a job that seems interesting,,,,The interview process,Rarely,I wish more recruiters contacted me!,Great,Great,Tolerate,Hate,I don't have an account,Tolerate,Hate,,,,Team I would be working with isædescribed,Company culture is described,Salary information is provided,,,Salary,,Company name,Tech stack,Office location,Job title,,Details about the product or project I'd be working on,Tolerate,Tolerate,Great,Great,Great,,,Offer remote interviews (ie. via video conference),,,,Show me the space in which I will work,,Prepare me for who I will be speaking with,,,,,,,0,1-2 hours per week,Multipleætimes a day,Vim,,Light,Git,,SVN,,,,,,,,,Git,,To get help for my job,,,,,,To receive help onæmy personal projects,Because I love to learn,,Usually,,,,,,,,"I don't answer much (or at all), but I want to answer more"
