What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you currently work in?,How many people work for your company?,Which of the following best describes your occupation?,"Including yourself, how many developers are employed at your company?",How large is the team that you work on?,What other departments / roles do you interact with regularly?,,,,,,,,,,"If your company has a native mobile app, what platforms do you support?",,,,,,,"If you make a software product, how does your company make money? (You can choose more than one)",,,,,,,,"In an average week, how do you spend your time?",,,,,,,,What is your involvement in purchasing products or services for the company you work for? (You can choose more than one),,,,,,,What types of purchases are you involved in?,,,,,,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2013?",Which of the following languages or technologies have you used significantly in the past year?,,,,,,,,,,,,,,Which technologies are you excited about?,,,,,,,,,,,Which desktop operating system do you use the most?,"Please rate how important each of the following characteristics of a company/job offer are to you.    Please select a MAXIMUM of 3 items as ""Non-Negotiables"" to help us identify the most important items, those where you would never consider a company if they didn't meet them.",,,,,,,,,,,,,,,,Have you changed jobs in the last 12 months?,What best describes your career / job satisfaction?,"Including bonus, what is your annual compensation in USD?",Which technology products do you own? (You can choose more than one),,,,,,,,,,,,,,"In the last 12 months, how much money have you spent on personal technology-related purchases?",Please rate the advertising you've seen on Stack Overflow,,,,,,What advertisers do you remember seeing on Stack Overflow?,What is your current Stack Overflow reputation?,How do you use Stack Overflow?,,,
Response,Response,Response,Response,Response,Response,Response,Response,Response,System Administrators,Designers,Product Managers,Testers / Quality Assurance,Technical Support,Sales / Marketing,Consultants,Customers,Finance,Human Resources,iPhone,iPad,Android phone,Android tablet,Blackberry,Other,No mobile app,Advertising,Direct sales to consumers,Direct sales to companies,Software as a service / recurring billing,Mobile app sales,Consulting,Grants / outside fund-raising,Other,Developing new features,Refactoring / code quality,Fixing bugs,Technical support,Meetings,Learning new skills,Surfing the Internet,Commuting,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",I have a discretionary budget at my disposal,I can buy anything I want without asking anyone,Check Writer,No Involvement,I'm a Seller,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,Response,C,C++,C#,Java,JavaScript,jQuery,JQuery,Node.js,Objective-C,PHP,Python,Ruby,SQL,Other (please specify),Node.js,Haskell,CoffeeScript,Dart,TypeScript,C++11,WinRT,Redis,MongoDB,F#,PhoneGap,Response,High Base Compensation,Stock Options/Profit Sharing Program,Identification With the Company/Goals,Excitement About the Company's Products,Opportunity to Use/Learn New Technologies,Room for Growth of Skills/Knowledge,"High Quality Office Space (amenities, lounge space, free food, etc)",High Caliber Team (is everyone else smart/hardworking),"Positive Organization Structure (not much bureaucracy, helpful management)",Lots of Control Over Your Own Work,"Quality of Workstation (dream machine, 30inch monitors, etc)",Autonomy Over Budget/Expenditures,Office in a Desirable City/Area,Convenient Commute or Telecommute Options,40 hour work week,Limited night / weekend work,Response,Response,Response,iPhone,Android,Blackberry,Windows Phone,iPad,Android Tablet,Kindle Fire,Windows Tablet,Kindle,Nook,PS3,Xbox,Wii,Other (please specify),Response,The ads are relevant,The ads are entertaining,The ads are Informative,I click on ads that interest me,I've taken a trial/purchased a product from ads,What ads? I use an ad blocker,Open-Ended Response,Response,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,Other (please specify)
United States of America,New Jersey,< 20,2/5/2013,Web Services,1/25/2013,Student,1/5/2013,Just me!,,Designers,,,,,,,,,,,,,,,No mobile app,Advertising,,,,,,,,5-10 hours,1-2 hours,2-5 hours,1-2 hours,1-2 hours,5-10 hours,5-10 hours,None,,,,I can buy anything I want without asking anyone,,,,,,Software,,,,"<$1,000",,,,Java,,jQuery,,,,PHP,,,SQL,,,,,,,,,,,,PhoneGap,Mac OS X,Somewhat Important,Not Very Important,Somewhat Important,Very Important,Very Important,Very Important,Not Very Important,Very Important,Non-Negotiable,Non-Negotiable,Very Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Yes,I enjoy going to work,Student / Unemployed,,Android,,,iPad,Android Tablet,,,,,PS3,,Wii,,$251-$500,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,,50,Read other people's questions to solve my problems,Ask questions to solve problems,,
United States of America,New Jersey,40-50,11,Web Services,26-100,Manager of Developers or Team Leader,6/15/2013,4/8/2013,System Administrators,Designers,Product Managers,Testers / Quality Assurance,,Sales / Marketing,,,Finance,,iPhone,iPad,Android phone,Android tablet,,,,,Direct sales to consumers,Direct sales to companies,,,,,,10-20 hours,2-5 hours,,2-5 hours,10-20 hours,2-5 hours,20+ hours,5-10 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",I have a discretionary budget at my disposal,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,100001,,,,Java,,jQuery,,,,PHP,Python,,SQL,,,,,,,,,,,,,Mac OS X,Somewhat Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Don't Care,Very Important,Non-Negotiable,Non-Negotiable,Not Very Important,Very Important,Very Important,Non-Negotiable,Somewhat Important,Somewhat Important,Yes,Love my job,">$140,000",,Android,,,iPad,Android Tablet,,,,,PS3,Xbox,Wii,,">$3,000",Agree,Agree,Agree,Agree,Neutral,Strongly Disagree,,Don't have an account,Read other people's questions to solve my problems,,,
United Kingdom,,35-39,11,Software Products,1/25/2013,Desktop Software Developer,1/5/2013,1/3/2013,,,,,,,,,,,,,,,,,,,,Direct sales to companies,,,Consulting,,,1-2 hours,1-2 hours,1-2 hours,2-5 hours,2-5 hours,1-2 hours,2-5 hours,None,,,,I can buy anything I want without asking anyone,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,"$1,001 - $5,000",,,C#,,JavaScript,jQuery,,,,,,,,,,,,,,,,Redis,,,PhoneGap,Windows 7,Somewhat Important,Not Very Important,Very Important,Very Important,Non-Negotiable,Non-Negotiable,Very Important,Non-Negotiable,Very Important,Somewhat Important,Very Important,Very Important,Not Very Important,Very Important,Not Very Important,Somewhat Important,No,I enjoy going to work,"$80,000 - $100,000",iPhone,Android,,,iPad,Android Tablet,,,Kindle,,,Xbox,Wii,,"$2,001-$3,000",Agree,Neutral,Agree,Neutral,Neutral,Neutral,,200,Read other people's questions to solve my problems,Ask questions to solve problems,,
United States of America,New York,35-39,11,Software Products,1/25/2013,"Executive (VP of Eng, CTO, CIO, etc.)",6/15/2013,15,System Administrators,Designers,Product Managers,Testers / Quality Assurance,Technical Support,Sales / Marketing,Consultants,Customers,Finance,Human Resources,iPhone,iPad,,,,,,,,,Software as a service / recurring billing,,,,Other,20+ hours,2-5 hours,1-2 hours,1-2 hours,1-2 hours,2-5 hours,2-5 hours,5-10 hours,,,,I can buy anything I want without asking anyone,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,100001,C,,,Java,JavaScript,jQuery,,,Objective-C,,,,,"Freemarker, Soy",,,,,,,,,,,,Mac OS X,Very Important,Non-Negotiable,Non-Negotiable,Non-Negotiable,Very Important,Very Important,Somewhat Important,Non-Negotiable,Somewhat Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Not Very Important,Not Very Important,No,Love my job,">$140,000",iPhone,,,,iPad,,,,,,,,,,">$3,000",Neutral,Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Very little. Don't pay too much attention to it. AND when I tried using it for my company it did not help much.,2000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United States of America,Massachusetts,25-29,6/10/2013,Healthcare,26-100,Mobile Application Developer,6/15/2013,1/3/2013,,,,Testers / Quality Assurance,,Sales / Marketing,,Customers,,,,,Android phone,Android tablet,,,,,,,,,,,,5-10 hours,1-2 hours,10-20 hours,5-10 hours,5-10 hours,1-2 hours,2-5 hours,1-2 hours,I can recommend or request products,,,,,,,,,,,,Other,Don't know,C,,,Java,JavaScript,,,,,PHP,Python,,SQL,Android SDK,,,CoffeeScript,,,,,,,,,Windows 7,Very Important,Not Very Important,Somewhat Important,Very Important,Somewhat Important,Very Important,Don't Care,Non-Negotiable,Very Important,Non-Negotiable,Somewhat Important,Somewhat Important,Very Important,Non-Negotiable,Don't Care,Don't Care,No,Love my job,Rather not say,iPhone,Android,,,,,,,,,PS3,Xbox,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Agree,,Don't have an account,Read other people's questions to solve my problems,,,
Germany,,25-29,6/10/2013,Consulting,"Other (not working, consultant, etc.)",IT Staff / System Administrator,1/5/2013,Just me!,System Administrators,,,,Technical Support,,,,,,,,,,,,No mobile app,,,,,,,,,,,1-2 hours,1-2 hours,,,,,,"I influence purchasing decisions, but don't have final approval",,,,,,Hardware,Servers,,,,,Don't know,,,,,JavaScript,,,,,,Python,,SQL,,,,,,,,,,,,,Linux,Somewhat Important,Don't Care,Very Important,Not Very Important,Very Important,Non-Negotiable,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Not Very Important,Not Very Important,Very Important,Very Important,Non-Negotiable,Somewhat Important,No,It's a paycheck,"<$20,000",,,,,,,,,,,,,,,$251-$500,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,,200,Read other people's questions to solve my problems,,Answer questions I know the answer to,
Other Europe,,25-29,6/10/2013,Software Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,25-29,6/10/2013,Web Services,26-100,Back-End Web Developer,16-30,4/8/2013,System Administrators,,,,,,,,,,iPhone,,Android phone,,,,,,,Direct sales to companies,Software as a service / recurring billing,,Consulting,,,10-20 hours,5-10 hours,2-5 hours,1-2 hours,None,10-20 hours,None,1-2 hours,I can recommend or request products,,,,,,,Hardware,,,,,,Don't know,C,,,,JavaScript,,,Node.js,,,Python,Ruby,,Lua,Node.js,Haskell,,,,,,Redis,MongoDB,,,Mac OS X,Somewhat Important,Not Very Important,Somewhat Important,Very Important,Non-Negotiable,Very Important,Somewhat Important,Non-Negotiable,Very Important,Very Important,Somewhat Important,Don't Care,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Yes,Love my job,"$40,000 - $60,000",iPhone,Android,,,,Android Tablet,,,,,,,,,"$2,001-$3,000",Neutral,Neutral,Disagree,Agree,Disagree,Agree,"Careers, Windows 8",500,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Other Europe,,35-39,11,Foundation / Non-Profit,26-100,IT Staff / System Administrator,1/5/2013,Just me!,,,,,,,,,,,,,,,,,No mobile app,,,,,,,Grants / outside fund-raising,,None,None,None,5-10 hours,1-2 hours,2-5 hours,10-20 hours,5-10 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"$1,001 - $5,000",C,C++,,Java,,,,,,PHP,Python,,SQL,,,,,,,C++11,,,,,,Linux,Very Important,Not Very Important,Very Important,Not Very Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Very Important,Somewhat Important,Not Very Important,Not Very Important,Non-Negotiable,Non-Negotiable,Non-Negotiable,Very Important,No,I enjoy going to work,"$20,000 - $40,000",,,,,,,,,,,,,,,"$501-$1,000",Neutral,Neutral,Neutral,Neutral,Disagree,Strongly Disagree,,5000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Middle East,,25-29,6/10/2013,Software Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,< 20,11,Software Products,"1,000-3,000",Mobile Application Developer,100,9/15/2013,System Administrators,Designers,,Testers / Quality Assurance,,,,,,Human Resources,iPhone,iPad,Android phone,Android tablet,Blackberry,Other,,Advertising,,,,,,Grants / outside fund-raising,,10-20 hours,2-5 hours,10-20 hours,None,1-2 hours,5-10 hours,5-10 hours,None,I can recommend or request products,,,,,,,Hardware,,Software,,,,Don't know,C,C++,,Java,JavaScript,,,,,PHP,,,SQL,Actionscript,Node.js,Haskell,,,,C++11,,,,,,Linux,Somewhat Important,Not Very Important,Non-Negotiable,Non-Negotiable,Somewhat Important,Very Important,Somewhat Important,Non-Negotiable,Very Important,Very Important,Somewhat Important,Not Very Important,Somewhat Important,Somewhat Important,Don't Care,Not Very Important,Yes,Love my job,"$40,000 - $60,000",,Android,,,,,,,,,,Xbox,,,$100-$250,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,,50,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United States of America,Florida,20-24,2/5/2013,Web Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Europe,,20-24,6/10/2013,Software Products,"Other (not working, consultant, etc.)",Mobile Application Developer,1/5/2013,Just me!,,,,,,,,,,,iPhone,iPad,,,,,,Advertising,,,,Mobile app sales,,,,2-5 hours,2-5 hours,5-10 hours,2-5 hours,None,2-5 hours,20+ hours,None,,,,I can buy anything I want without asking anyone,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,"$1,001 - $5,000",,C++,,,,,,,Objective-C,,,,,matlab,,,,,,,,,,,,Mac OS X,Very Important,Somewhat Important,Somewhat Important,Very Important,Non-Negotiable,Non-Negotiable,Somewhat Important,Very Important,Very Important,Very Important,Somewhat Important,Very Important,Very Important,Very Important,Somewhat Important,Very Important,Yes,I enjoy going to work,,iPhone,Android,,,,,,,Kindle,,,,,,"$2,001-$3,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,50,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Other Europe,,30-34,2/5/2013,Other,"Other (not working, consultant, etc.)",Student,1/5/2013,Just me!,System Administrators,,,,,,,,,,,,,,,,,,,,,,,,,20+ hours,20+ hours,5-10 hours,1-2 hours,1-2 hours,20+ hours,20+ hours,,,,,,,No Involvement,,,,,,,,,C,,,Java,JavaScript,jQuery,,,,,,,SQL,,,,,,,,,,,,,Windows 7,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Somewhat Important,Yes,I wish I had a job!,Student / Unemployed,,,,,,,,,,,,,,,<$100,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,,100,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Other Europe,,30-34,11,Software Products,1/25/2013,"Executive (VP of Eng, CTO, CIO, etc.)",1/5/2013,1/3/2013,System Administrators,,Product Managers,Testers / Quality Assurance,,Sales / Marketing,Consultants,Customers,Finance,,,,Android phone,Android tablet,,,,,,Direct sales to companies,Software as a service / recurring billing,,Consulting,Grants / outside fund-raising,,20+ hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,2-5 hours,1-2 hours,1-2 hours,I can recommend or request products,,I have a discretionary budget at my disposal,I can buy anything I want without asking anyone,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,,"$1,001 - $5,000",,,,,JavaScript,,,,,PHP,,,SQL,,Node.js,,,,,,,,,,,Mac OS X,Somewhat Important,Somewhat Important,Very Important,Very Important,Very Important,Very Important,Not Very Important,Very Important,Very Important,Very Important,Somewhat Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Somewhat Important,No,Love my job,Rather not say,,Android,,,,,,,,,,,,,$251-$500,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,,1,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Italy,,20-24,6/10/2013,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,,25-29,2/5/2013,Other,26-100,Desktop Software Developer,6/15/2013,4/8/2013,,Designers,,Testers / Quality Assurance,,,,,,,,,,,,,No mobile app,,,Direct sales to companies,,,,,,10-20 hours,1-2 hours,5-10 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,,,,,,No Involvement,,,,,,,,,C,C++,,,,,,,,,Python,,,,,,,,,C++11,,,,,,Windows 7,Very Important,Not Very Important,Not Very Important,Very Important,Non-Negotiable,Non-Negotiable,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Not Very Important,Don't Care,Non-Negotiable,Non-Negotiable,Somewhat Important,Somewhat Important,Yes,I enjoy going to work,"$60,000 - $80,000",,,Blackberry,,,,,,,,,,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,,1000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
