Poland,20-24,Male,Tabs,2 - 5 years,Mobile developer,Windows 7,,Android,Arduino / Raspberry Pi,AngularJS,,,,,,,Cordova,Clojure,,,,,,,iOS,Java,JavaScript,,Matlab,MongoDB,Node.js,Objective-C,,,,,,,,,,,,,,,,,,,Android,,AngularJS,,,,,,,,Clojure,,,,,,,,Java,,,,MongoDB,Node.js,,,,Python,,,,,,Scala,,,,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"Less than $20,000",10000,I'm a student,,,,,Yes,I am open to new job opportunities,,,,,,,,,,,,,Quality of colleagues,Company culture,,Building something that matters,,,Somewhat important,,,,Interesting companies rarely respond,Writing my CV and keeping it updated,,,Rarely,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Tolerate,I don't have an account,Great,Hate,Hate,Hate,Message is personalized,,,Team I would be working with isædescribed,Company culture is described,,,,,,,Tech stack,,,People I would be working with,Details about the product or project I'd be working on,Tolerate,Tolerate,Great,Great,Great,Show meæmore live code,,,,Introduce me to the team,,,,Prepare me for who I will be speaking with,,,,,,,3,2-5 hours per week,Multipleætimes a day,atom.io,,Dark,Git,,,,,,,,,,,Git,,,,,,,,To receive help onæmy personal projects,Because I love to learn,,Usually,,,,,,,,"I don't answer much (or at all), but I want to answer more"
Poland,< 20,Male,Tabs,2 - 5 years,Mobile developer,Ubuntu,,Android,Arduino / Raspberry Pi,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,Python,,,,,,,,,,,,,,Wordpress,,Android,,,,,,,,,,,,,,,,,iOS,,JavaScript,,,,,,,,Python,,,,,,,,,,,Swift,,,,,No formal training; I'm self-taught,,,,,,,,,,,Unemployed,Unemployed,I'm a student,,,,,No (I'm a student),I am open to new job opportunities,Salary,,,,,,,,Work/life balance,,,,,Company culture,,,,,Somewhat important,,,Searching for a job that seems interesting,Interesting companies rarely respond,,,The interview process,Never,I wish more recruiters contacted me!,Great,I don't have an account,I don't have an account,Great,I don't have an account,Great,Hate,Message is personalized,,,,Company culture is described,Salary information is provided,,,Salary,,Company name,,,,People I would be working with,Details about the product or project I'd be working on,Tolerate,Tolerate,Tolerate,Great,Great,Show meæmore live code,,,,,Offer me a decent cup of coffee,Show me the space in which I will work,,,,,,,,,0,5-10 hours per week,Once a week,NotePad++,,Light,,,,,,,,,,I don't use source control,,,,To get help for my job,,Because I can't do my job without it,,,,,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,,,,,,"I don't answer much (or at all), but I want to answer more"
Romania,25-29,Male,Tabs,6 - 10 years,Mobile developer,Windows 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Basic,Windows Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Basic,Windows Phone,,,No formal training; I'm self-taught,,,,,,,,,,,,,Unemployed,,,,,No,I am not interested in other job opportunities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,20-24,Male,It depends,2 - 5 years,Mobile developer,Windows 7,,Android,,,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,Perl,,,,,,,,,,,,,,,,,,Android,,,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,Perl,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,Rather not say,Rather not say,Employed full-time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,25-29,Male,Tabs,1 - 2 years,Mobile developer,,Mac OS X and Windows 8 both very much,Android,,,,C++,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,F#,,,,iOS,,JavaScript,,,,Node.js,,,,,,,,,,,,,,,,,Windows Phone,,,Android,,,C,C++,,C#,,,,,,,F#,,,,iOS,Java,JavaScript,,,,,Objective-C,,,,,,,,,,,,,,Swift,,,,Xamarin,No formal training; I'm self-taught,,,,,,,,,,,"Less than $20,000",10000,Freelance / Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,< 20,Male,Tabs,2 - 5 years,Mobile developer,Windows 8,,Android,Arduino / Raspberry Pi,,,C++,,C#,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,Windows Phone,,,Android,Arduino / Raspberry Pi,,,,,C#,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,,,,,,,,,,,,,,Windows Phone,,,No formal training; I'm self-taught,,,,,,,,,,,"Less than $20,000",10000,I'm a student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,25-29,Male,Tabs,1 - 2 years,Mobile developer,Mac OS X,,,,,,,,C#,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,,,,,,,,,,,Windows Phone,,,Android,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,20-24,Male,Tabs,6 - 10 years,Mobile developer,Mac OS X,,Android,Arduino / Raspberry Pi,AngularJS,,,,,,,,,,,,,,,,Java,,,,,Node.js,Objective-C,,,,,,,,,,,,,,,,,,,Android,Arduino / Raspberry Pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"Less than $20,000",10000,I'm a student,,,,,No,I am open to new job opportunities,Salary,,Ability to make or influence important decisions,,,,,,,,,,,,,Building something that matters,,,Not important,,Finding an open job that I'm qualified for,,,Writing my CV and keeping it updated,,The interview process,About once a week,I wish more recruiters contacted me!,Great,Great,I don't have an account,Tolerate,Great,Hate,Hate,Message is personalized,,,,,Salary information is provided,,,,Benefits,,,Office location,,,Details about the product or project I'd be working on,Tolerate,Tolerate,Great,Great,Great,,,Offer remote interviews (ie. via video conference),,,,Show me the space in which I will work,Fewer brainteasers,,,,,,,,0,10-20 hours per week,Multipleætimes a day,Sublime Text,,Dark,Git,,,,,,,,,,,Git,,,,,,,,To receive help onæmy personal projects,Because I love to learn,,Usually,,My answer will help lots of people who have the same problem in the future,,,,,,
Spain,20-24,Male,Tabs,1 - 2 years,Mobile developer,Mac OS X,,Android,,,,,,,,,,,,,,,,,iOS,Java,,,,,,,,PHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,,Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,20-24,Male,Tabs,2 - 5 years,Mobile developer,Mac OS X,,Android,,,,,,,,,,,,,,,,,iOS,,JavaScript,,,,,Objective-C,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,iOS,,JavaScript,,,,,Objective-C,Perl,,,,,,,,,,,,,Swift,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),Masters Degree in Computer Science (or related field),,,Rather not say,Rather not say,Employed full-time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,20-24,Male,Huh?,1 - 2 years,Mobile developer,Windows 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,20-24,Male,Tabs,2 - 5 years,Mobile developer,Mac OS X,,Android,,,C,C++,,,,,,,,,,,,,iOS,Java,,LAMP,,,,Objective-C,,PHP,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,"$40,000 - $60,000",50000,Employed full-time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,25-29,Male,Spaces,1 - 2 years,Mobile developer,Windows 8,,Android,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,Python,,,Ruby,,,,,,,,,,,,,,,,,C++,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Basic,Windows Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,20-24,Male,It depends,2 - 5 years,Mobile developer,Mac OS X,,,,,,C++,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lua,,,,,C++,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,Unemployed,Unemployed,Unemployed,,,,,No,I am actively looking for a new job,,,,,,,Company size,,,,,,,Company culture,,Building something that matters,,,Somewhat important,,Finding an open job that I'm qualified for,,,,,,Rarely,I wish more recruiters contacted me!,Great,Tolerate,I don't have an account,Tolerate,Tolerate,Hate,Tolerate,,Code or projects I've worked on are referenced,,Team I would be working with isædescribed,Company culture is described,,,,,,,,,,,Details about the product or project I'd be working on,Hate,Tolerate,Tolerate,Great,Great,,,,,Introduce me to the team,,Show me the space in which I will work,,Prepare me for who I will be speaking with,,It's a jobs site specificallyæfor programmers,,,,,1,10-20 hours per week,Once a week,Sublime Text,,Dark,Git,,,,,,,,,,,Git,,,To give help to others,Because I can't do my job without it,,,,,Because I love to learn,,Usually,It feels good to help a programmer in need,,,,,,,
United Kingdom,40-50,Male,Tabs,11+ years,Mobile developer,Windows 8,,Android,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,Android,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,40-50,Male,Spaces,11+ years,Mobile developer,Mac OS X,,Android,,,,,,,,,,,,,,,,,iOS,,JavaScript,,,,,Objective-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iOS,,,,,,,,,,,,,,,,,,,,,Swift,,,,,,,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,Bachelor of Science in Computer Science (or related field),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,20-24,Male,Tabs,1 - 2 years,Mobile developer,Mac OS X,,,,,,,,,,,,,,,,,,,iOS,,JavaScript,,,,,Objective-C,,PHP,,,,,,,,,,SQL,SQL Server,,,,,,,,,,,,,,,,,,,,,,,iOS,,,,,,,Objective-C,,PHP,,,,,,,,,,SQL,SQL Server,Swift,,,,,No formal training; I'm self-taught,,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,,,,,Rather not say,Rather not say,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,< 20,Male,Tabs,2 - 5 years,Mobile developer,Windows 8,,Android,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,Ruby,,,,,,,,,,,,,,Arduino / Raspberry Pi,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,,,,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,,,,,Unemployed,Unemployed,I'm a student,,,,,No (I'm a student),I am not interested in other job opportunities,Salary,,Ability to make or influence important decisions,,,,,,,,,,,Company culture,,,,,Neutral - I don't mind working in the office or remotely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,25-29,Male,Tabs,6 - 10 years,Mobile developer,Mac OS X,,Android,,,,,,,,,,,,,,,,,iOS,Java,JavaScript,,,,Node.js,Objective-C,,PHP,,,,,,,,,,SQL,,,,,Wordpress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,35-39,Male,Tabs,11+ years,Mobile developer,Windows 8,,Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Android,,,,,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,20-24,Male,Huh?,1 - 2 years,Mobile developer,Mac OS X,,Android,,,,,,,,,,,,,,,,,iOS,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,,,AngularJS,,,,,,,,,,,,,,,,,JavaScript,,,,Node.js,,,,,,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,Some college coursework in Computer Science (or related field) but no degree,,,,,,,I'm a student,,,,,No (I'm a student),I am open to new job opportunities,,,,,,,,,,,,,Quality of colleagues,,,Building something that matters,Remote working options,,Neutral - I don't mind working in the office or remotely,,,Searching for a job that seems interesting,,Writing my CV and keeping it updated,,The interview process,Several times a day,"Please, make the recruiter spamŒæstop",Great,Great,I don't have an account,Tolerate,Tolerate,I don't have an account,I don't have an account,Message is personalized,Code or projects I've worked on are referenced,,,Company culture is described,,,,Salary,Benefits,,Tech stack,Office location,,,Details about the product or project I'd be working on,Hate,Hate,Great,Great,Great,,,,,,,Show me the space in which I will work,,Prepare me for who I will be speaking with,,,,,,,2,2-5 hours per week,Very rarely,Sublime Text,,Dark,Git,,,,,,,,,,,Git,,To get help for my job,To give help to others,,To maintain an online presence,,To communicate with others like me,To receive help onæmy personal projects,Because I love to learn,,Usually,It feels good to help a programmer in need,,,,I feel a sense of responsibility to the developer community,,,
United States,20-24,Male,Spaces,2 - 5 years,Mobile developer,Mac OS X,,,,,,,,,,,,,,,,,,,iOS,,JavaScript,,,MongoDB,Node.js,Objective-C,,,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iOS,,,,,MongoDB,,Objective-C,,,Python,,,,,,,,,,,,,,,,,,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,Bachelor of Science in Computer Science (or related field),,,,"Less than $20,000",10000,Unemployed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,25-29,Male,It depends,6 - 10 years,Mobile developer,Mac OS X,,Android,,,C,,C++11,C#,,,,,,,,,,,iOS,Java,JavaScript,,,,Node.js,Objective-C,,,,,,,,,,,,SQL,SQL Server,,,,,,Android,,AngularJS,,,C++11,C#,Cassandra,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,iOS,Java,JavaScript,,,,Node.js,Objective-C,,,,,,,,,Scala,,,,,Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,< 20,Male,Huh?,6 - 10 years,Mobile developer - Android,Windows 7,,Android,,,C,C++,,,,,,,,,,,Hadoop,,,,,,,,,,Perl,PHP,,,,,,,,,,,,,,,,,Android,,,,,,,,,,,,,,,Hadoop,,,,,,,,,,,,,,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,"$40,000 - $60,000",50000,Employed full-time,Aerospace,I love my job,I have no say in purchasing what I need or want at work,Part-time Remote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,20-24,Female,Tabs,2 - 5 years,Mobile developer - Android,Ubuntu,,Android,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,,,,,,,Android,,,,,,,,,,,,,,,,,iOS,Java,JavaScript,,,,,,,,,,,Ruby,,,,,,SQL,,,,,,,,,,,,,,,Masters Degree in Computer Science (or related field),,,Rather not say,Rather not say,Freelance / Contractor,Aerospace,,I can buy anything I want without asking anyone,Part-time Remote,Yes,I am open to new job opportunities,,,,,,,,,,,,,Quality of colleagues,,,,Remote working options,Flexible work hours,Very important,,Finding an open job that I'm qualified for,Searching for a job that seems interesting,,Writing my CV and keeping it updated,,,Rarely,I wish more recruiters contacted me!,Tolerate,Great,I don't have an account,Great,Great,I don't have an account,Hate,Message is personalized,,,,,Salary information is provided,Benefits / perks of the work environment are described,,,,,,,Job title,,Details about the product or project I'd be working on,Hate,Hate,Tolerate,Great,Great,Show meæmore live code,Be more flexible about interview scheduling,,,Introduce me to the team,,,,,,,,,,,0,2-5 hours per week,Once a day,Emacs,,Light,Git,Mercurial,,,,,,,,,,Git,,,,,,,,To receive help onæmy personal projects,Because I love to learn,,Usually,,My answer will help lots of people who have the same problem in the future,,,,,,"I don't answer much (or at all), but I want to answer more"
